two men are crying	Two men laughing.
A tired businessman takes a quick nap while riding the train.	A man finds time to take a nap in the electric car.
A man working on a light that has been broken for a week.	The women work hard on a crooked down.
A man is attempting to fix the air compressor.	A man uses a high-power hose to put out the fire.
a twelve year old girl eats chocolate ice cream	Girl eat ice cream.
a man holds a pro Judea protest sign at a protest rally	A man holds a sign of protest
A woman holds a little boy wearing a blue sweatshirt.	A woman carrying a child smiling, wearing a blue shirt.
A bike riding blond child.	The girl riding her bike.
people are in the road	People near the road
The windows are tall.	The windows open.
A man is being chased by the police.	Police arrest man
A girl has binoculars	A young girl carrying a camera
Two people ride red bikes.	Two men are leading the way to another
Two people are standing next to each other wearing pink.	There are three men, two of them wearing Qmichin Ohmaren Thertheran together
A black woman is buying donuts at the store.	Women look at the shampoo at a grocery store.
The man works in the local market.	A group of traders working in the market.
A woman in red wears glasses and long earrings.	Woman wearing glasses, big earrings, and a lid on her head.
Skateboarder in midair at a park.	Man outdoor skate park.
a man working the kinks out of his old bones	The man works in his hand
A woman in a one-piece bathing suit with a man on a boardwalk on a foggy day.	A man wearing a suit and a woman wearing a wedding dress walking on the sidewalk wet.
A man in a blue shirt helping a man in a red shirt fix a car.	A man with a blue shirt a red shirt helps a man to fit a bicycle path
A girl kneels on the ground with her friend.	Or stretched out on the ground with her son
The gymnast is a few feet off the ground.	Someone in the air with skis on his feet.
Boy walks past man in orange overalls who is sweeping garbage from the street.	Women carrying a black bag cross the street.
Two men are trying to drink beer while tubing.	Two women carrying drinks and two PAG.
The man is riding a jet ski.	Dog riding a plane.
Girls are standing up.	Girls stood by.
men sitting on their couch while eating bull	Two women Tjlsan to table their clothes resemble frogs
A man is bending down in a park next to a woman on a bike.	A man in a wheelchair walking down the sidewalk
Two men on a platform	Four men on the platform.
The homeless man is alone in his box.	Man Home Alone
A bunch of people gathered on a beach.	A group of people on the beach.
The girl is sitting and drinking water.	Sitting girl drink water.
A lady shows a guy a reptile while another child is in the background.	Girl picks up the image of an older in a wide garden Girl
The people are not clapping.	People all Aapson.
Jockeys race the fast horses.	Varsan Atsabakan on horseback.
They are playing with an antique set.	The men next to the table.
The people are in the water.	People in the water.
A young man who looks Oriental is selling things.	Like the young girl is not her shoe boots.
A group of women practice yoga in the backyard of a yellow house.	A group of people sitting in a swimsuit on a beach in yoga postures.
The boy is ready to take a swing at a ball using a bat.	A boy prepares to catch a ball.
Four women wearing bicycle riding clothing sit on a bench.	Two men sitting on the grass wearing bicycle helmets.
The man is taking a picture of the Empire State Building.	Women in the military.
The people are sleeping in the snow.	People in the snow.
The insect is from Mars.	Insect fly.
A group of people eating outdoors.	A group of people eat
A teenage pole vaulter is performing.	Slider performs a jump.
The girl is learning how to use a microscope.	An elderly woman showing how to use the washing table to do the laundry.
Two men dressed in white shirts button down shirts, white hats, with blue scarves tied around their necks	Three men dressed in red and white striped shirts, white shorts and black hats carrying flags.
A man is that just purchased and put on a rainbow colored necklace and is very happy.	A man and a child on the sand.
The young boys are brothers.	Neonates two little brothers.
Two kids are in a field.	Two dogs were working in a field
There were only strawberries to eat at the baby shower.	People at the ceremony newborn
There is a bear in the jewelry store.	Women in the store looking for things in supplies
A man is holding a computer monitor.	A man working in the window.
the man is using a heat suit control the flame	A man using a blowtorch to melt the plastic.
Superman breaks down the sign so the group may pass	Bull is trying to take a man's back
The people are standing in line at the water slide.	A group of people look through the fence on the water and land covered by fog.
A child is laying in a bed in a medical setting.	Child in bed.
A woman pops a bubble.	Girl blowing bubble by stick
The 2 drunk men are standing in the street getting ready for a fist fight.	The man with the red shirt sitting in his car waiting for the rain to stop
The dog is chasing a lizard.	Dog chasing a ghost.
A women and two children are walking between buildings in the rain with an umbrella.	Two women in a field with no buildings surrounded by.
A person asking for directions	Someone asks for guidance.
The woman is trying to make the man get up.	Wife angry tourists from the man who can not work his mind.
Roller blade cops are talking.	Few men are leap background.
A tall human falling	Tall man jumped.
A Chinese farmer is working in a rice field	Asian farmer walking in a rice field with an ox.
A father rides a horse while his daughter stands nearby.	A man riding a bike, ride his daughter by his side.
The men try to show the coach what they're made of.	Both men are at the wheel of commanded them to get the job done.
a man smokes a cigarette.	Woman smoking a cigarette
A player catches the football in the end zone.	Football player runs to the latter region.
The band is performing on a stage.	The band on stage.
The beam is firmly in place.	Proven lighting the lamp on the floor.
The family gets a portrait taken	The man picks up a picture of his girlfriend.
A group of children are stretching.	There are a group of children abroad.
People walk by through a city juggling.	People walk through the city.
The man is walking by a mural.	A man walks from the plate.
A lone woman walks in the surf at the beach.	A woman walks among the waves on the beach.
A man in a white shirt and a woman in a black shirt riding a motorcycle.	A man wearing jeans, a red shirt riding a motorcycle on the highway.
Two men are searching for canned goods	Two men peddling vegetables.
A sharp looking man is cruising in the sunshine.	A man offers tricks on a bike is very high in the air.
a boy steals an apple alone	Rujul ldyh lbh MoaTad.
A woman is training to be an expert shot with a pistol.	A man uses a wheelchair talking in a field for a few women.
A mother is cutting fabric into squares for a quilt.	A woman cut off the canvas.
The small boy is sleeping.	There is a boy near the shoes.
woman goes grocery shopping	Woman grocery shopping
the father plays catch with his son	A father and his sons play basketball.
A man cuts a melon.	A man cut a cake.
An asian woman with a microphone stands amongst a crowd of raised hands.	A woman standing in a crowd of people in Asia.
She is watching a movie inside.	A man sitting and watching a movie.
two black dogs on the beach	Three black dogs on the beach.
The man's hands are full.	Women wore their hands on the man's head.
Humans in shirts.	Dog and chicken have the same colors.
A woman is taking a break from reading her book.	A young woman takes a photo during a short break from her job as a waitress.
The man is waiting on someone by the building.	Man standing building to wait for someone.
A man is sleeping while the woman watches silently.	An old sleeps naked on her own.
A man plays piano with his shoes.	A man plays the violin, smiling.
Two kids having a snowball fight.	Two girls Taataarcan padding.
A girl is crying in the park.	A baby crying in the garden.
The man is playing a round of golf.	Sad man in the game.
A canine is in the field.	The man in the field.
A mountain biker jumps off of a fence while going downhill.	Skater man steeper incline sharply.
A woman uses a high tech sewing machine to make a scarf	Woman using a sewing machine for garment.
Group of black men loading luggage onto the top of a bus	A group of men are loading the goods on the back of the car.
An artist drawing.	Artist paints.
The people are not standing.	All people are standing.
Two guys are having lunch in a Chinese restaurant.	Two women waiting for a meal in a restaurant.
A boy is putting his black socks and shoes on his feet.	Black boy take off his shoes.
The man is standing next to a sheep.	A man standing next to a dog.
Young man in blue shirt peering through a large bubble.	A man wearing a white shirt and sunglasses staring at the horizon.
A woman sits fanning herself	The red-haired woman sitting inside
The blow-up figure is Karl Marx.	A panel of Albert Einstein on a bear.
A male and female worker is whipping up a meal.	A man wearing female food Luna offers rosy.
Workers are standing near the tracks.	Two factors in the sun
Two kids wearing cold clothing look happily down through a tire swing for a picture.	Two children dressed in warm clothes looking at below them happily through the swing frames in order to take a picture.
people walking a standing in a city park.	People sitting in a public park.
men sitting on steps with a dog	Two men talking with another man in the balcony
Two men with long hair sit on sofas.	Two men dressed in black T-shirts put up a man a man under their laptops on the couch own.
