a plane be take off .	a air plane be take off .	5.0000
a man be play a large flute .	a man be play a flute .	3.8000
a man be spread shreded cheese on a pizza .	a man be spread shredded cheese on a uncooked pizza .	3.8000
three man be play chess .	two man be play chess .	2.6000
a man be play the cello .	a man seat be play the cello .	4.2500
some man be fight .	two man be fight .	4.2500
a man be smoking .	a man be skate .	0.5000
the man be play the piano .	the man be play the guitar .	1.6000
a man be play on a guitar and singing .	a woman be play a acoustic guitar and singing .	2.2000
a person be throw a cat on to the ceiling .	a person throw a cat on the ceiling .	5.0000
the man hit the other man with a stick .	the man spank the other man with a stick .	4.2000
a woman pick up and hold a baby kangaroo .	a woman pick up and hold a baby kangaroo in she arm .	4.6000
a man be play a flute .	a man be play a bamboo flute .	3.8670
a person be folding a piece of paper .	someone be folding a piece of paper .	4.6670
a man be run on the road .	a panda dog be run on the road .	1.6670
a dog be try to get bacon off he back .	a dog be try to eat the bacon on its back .	3.7500
the polar bear be slide on the snow .	a polar bear be slide across the snow .	5.0000
a woman be write .	a woman be swim .	0.5000
a cat be rub against baby 's face .	a cat be rub against a baby .	3.8000
the man be ride a horse .	a man be ride on a horse .	5.0000
a man pour oil into a pot .	a man pour wine in a pot .	3.2000
a man be play a guitar .	a girl be play a guitar .	2.8000
a panda be slide down a slide .	a panda slide down a slide .	4.6000
a woman be eat something .	a woman be eat meat .	3.0000
a woman peel a potato .	a woman be peel a potato .	5.0000
the boy fall off he bike .	a boy fall off he bike .	4.8000
the woman be play the flute .	a woman be play a flute .	5.0000
a rabbit be run from a eagle .	a hare be run from a eagle .	4.2000
the woman be fry a bread pork chop .	a woman be cook a bread pork chop .	4.2000
a girl be fly a kite .	a girl running be fly a kite .	4.0000
a man be ride a mechanical bull .	a man ride a mechanical bull .	4.0000
the man be play the guitar .	a man be play a guitar .	4.9090
a woman be dancing and singing with other woman .	a woman be dance and singing in the rain .	3.0000
a man be slice a bun .	a man be slice a onion .	2.4000
a man be pour oil into a pan .	a man be pour oil into a skillet .	4.2000
a lion be play with people .	a lion be play with two man .	3.4000
a dog ride a skateboard .	a dog be ride a skateboard .	5.0000
someone be carve a statue .	a man be carve a statue .	3.7500
a woman be slice a onion .	a man be cut a onion .	2.7500
a woman peel shrimp .	a woman be peel shrimp .	5.0000
a woman be frying fish .	a woman be cooking fish .	4.0000
a woman be play a electric guitar .	a woman be play a guitar .	3.6000
a baby tiger be play with a ball .	a baby be play with a doll .	1.6000
a person be slice a tomato .	a person be slice some meat .	1.7500
a person cut a onion .	a person be cut a onion .	5.0000
a man be play the piano .	a woman be play the violin .	1.0000
a woman be play the flute .	a man be play the guitar .	1.0000
a man be cut up a potato .	a man be cut up carrot .	2.3750
a kid be play guitar .	a boy be play a guitar .	3.8000
a boy be play guitar .	a man be play a guitar .	3.2000
a man be play guitar .	a boy be play a guitar .	3.2000
a little boy be play a keyboard .	a boy be play key board .	4.4000
a man be play a guitar .	a man be play a electric guitar .	3.7500
a dog lick a baby .	a dog be lick a baby .	4.7500
a woman be slice a onion .	a man be cut and onion .	3.2000
a man be play the guitar .	a man be play the drum .	1.5560
a woman be slice a pepper .	a woman be cut a red pepper .	3.9380
a man be play the drum .	a man play the drum .	5.0000
a woman ride a horse .	a woman be ride a horse .	5.0000
a man be eat a banana by a tree .	a man be eat a banana .	4.0000
a cat be play a key board .	a man be play two keyboard .	1.6000
a man chop down a tree with a axe .	a man cut a tree with a axe .	4.7500
a kid play with a toy phone .	a little boy play with a toy phone .	3.5000
a man be ride a motorcycle .	a man be ride a horse .	1.4000
a man be ride a motorcycle .	a man be ride a horse .	1.4000
a squirrel be spin around in circle .	a squirrel run around in circle .	4.0000
a man and a woman be kiss .	a man and woman kiss .	5.0000
a man be get into a car .	a man be get into a car in a garage .	3.8330
a man be dance .	a man be talk .	0.6000
a man be play the guitar and singing .	a man be play the guitar .	2.9170
a person be cut mushroom .	a person be cut mushroom with a knife .	4.2000
a tiger cub be make a sound .	a tiger be walk around .	2.0000
a person be slice onion .	a person be peel a onion .	2.6000
a man be play the piano .	a man be play the trumpet .	1.6000
a woman be peel a potato .	a woman be peel a apple .	2.0000
a pankda be eat bamboo .	a panda bear be eat some bamboo .	4.2000
a person be peel a onion .	a person be peel a eggplant .	2.0000
a monkey push another monkey .	the monkey push the other monkey .	4.8000
a squirrel run around in circle .	a squirrel be move in circle .	4.4000
a man be tie he shoe .	a man tie he shoe .	5.0000
a boy be singing and play the piano .	a boy be play the piano .	3.0000
a dog be eat water melon .	a dog be eat a piece of watermelon .	4.2500
a woman be chop broccoli .	a woman be chop broccoli with a knife .	4.2500
a man be peel a potato .	a man peel a potatoe .	3.8000
a woman be play a guitar .	a man play a guitar .	2.4000
a woman be slice tomato .	a man be slice onion .	1.6000
a man swim underwater .	a woman be swim underwater .	2.0000
a man and woman be talk .	a man and woman be eat .	1.6000
a small dog be chase a yoga ball .	a dog be chase a ball .	4.0000
the man be play cricket .	the man be play basketball .	2.2000
a man ride off on a motorcycle .	a man be ride on a motorcycle .	4.4000
a man be play a guitar .	a man be singing and play a guitar .	3.6000
the man talk on the telephone .	the man be talk on the phone .	3.6000
a man be fishing .	a man be exercise .	0.5000
a man be levitate .	a man be talk .	0.8000
two boy be drive .	two bay be dance .	0.6000
a man be ride on a horse .	a girl be ride a horse .	2.6000
a man be ride a bicycle .	a monkey be ride a bike .	2.0000
a man be slice potato .	a woman be peel potato .	2.2000
a woman be peel a potato .	a man be slice potato .	2.4000
a man be play a guitar .	Someoen be play guitar .	3.6000
a woman be slice a leek .	a woman be slice ginger .	2.2000
the man cut a paper plate .	a man be cut a paper plate .	4.8000
the man be play the guitar .	a man be play the flute .	1.6430
a man be play the piano .	the man be play the violin .	1.7500
a woman be slice up some meat .	a woman be bread some meat .	2.2500
a man be play on he keyboard .	a man be play a keyboard piano .	4.0000
the lady chop up the green onion .	the lady cut up a green onion .	4.8000
someone be sitr noodle in water .	a woman be boil noodle in water .	3.2000
Lionel Richie be dance on the ceiling .	Lionel Ritchie dance while stand on the ceiling .	4.0000
a man be play a piano .	a person be play the piano .	4.4000
a woman be play flute .	a woman play on a flute .	4.6000
a boy be check a calender .	a boy be look at a calendar .	3.8000
a woman be cut a onion .	a woman be chop onion .	4.8000
a man be play guitar .	a man play a guitar .	4.8570
a woman be use a sew machine .	a woman be sew on a machine .	5.0000
a woman be flip pancake .	a cartoon chef be flip pancake .	2.5330
a man be run on the road .	a car be drive down the road .	1.0000
a man be ride on a horse .	a man be talk on a phone .	1.0000
a man be ride a bike .	a man be ride on a horse .	2.0000
a woman be dance .	a man be eat .	0.1430
a man be play a piano .	a man be play a flute .	2.0000
a man be play a flute .	a man be play a piano .	1.6000
a man be spin .	a man be dance .	1.6000
a monkey be swing from limb to limb .	a monkey be swing from tree to tree .	3.4000
the people get off the train .	the people get off the train at the station .	4.0000
a dog be jump on a trampoline .	a dog bounce on a trampoline .	4.8000
a boy be play a instrument .	a man be play a trumpet .	2.5000
a woman play the guitar .	a man sing and play the guitar .	1.7500
a woman be pick a can .	a woman be slice a tomato .	1.0000
a man be climb a rope .	a man climb up a rope .	5.0000
a man be lift a car .	a man be climb a wall .	1.4000
a man and woman be drive down the street in a jeep .	a man and woman be drive down the road in a open air vehicle .	4.0000
the shirtless man sit in a chair .	a shirtless man be sit on a chair .	3.8000
two woman be wrestle .	two woman be wrestle on the floor .	4.0000
the puppy play with a blue tennis ball .	a puppy be play with a tennis ball .	4.0000
a kangroo be eat something .	a kangaroo be eat .	4.8000
a cat be play a piano .	a man be play a guitar .	0.6000
the man cut some carpet with a knife .	a man be cut carpet with a knife .	4.7500
a woman be ride a motorized scooter down a road .	a man be ride a motor scooter .	2.2000
someone be slice a vegetable .	someone be slice a tomato .	3.0000
a woman be dance .	a man be talk .	0.0000
a dog lick up a baby 's drool .	a dog lick a baby .	2.2000
a man be rowing a boat .	a man be slice a tomato .	0.4000
a man cut up potato .	a man slice potato .	4.8000
a woman be chop up garlic .	the woman be dice garlic .	4.8000
a animal run in circle .	a squirrel run in circle .	3.8000
a man be walk slowly across a rope bridge .	a boy be walk across a bridge .	3.0000
a man be play the guitar .	a man seat in a room be play the guitar .	4.0000
a man play the flute .	a man be play a flute .	5.0000
a woman crack two egg into a glass bowl .	a woman be crack a egg into a bowl .	3.8000
a man be cut a fish .	a man gut a fish .	3.0000
two man be pack suitcase into the trunk of a car .	the man be put suitcase into the car 's trunk .	4.4000
a man pour oil on some tomato .	the man pour oil on the cut tomato .	3.8000
a man be slice something .	a man be slice a bun .	3.0000
a man be paddle a canoe .	a man be play a harp .	0.6670
a man and woman be walk together through the wood .	a man and woman be walk arm in arm through a wooded area .	4.0000
the woman pick up the kangaroo .	a woman pick up a baby kangaroo .	3.7500
fish be swim .	a fish be swim .	4.1330
two woman mix something in a food processor .	two woman make something in a blender .	4.0000
a person be surf a large wave .	a person be surf .	3.6000
a man be play a guitar .	a man be stab a target .	1.2000
a man be play a flute in a band .	a man be play a guitar .	1.6000
the man spread butter on the loaf of bread .	a man be spread butter onto bread .	4.0000
a person be boil noodle .	a woman be boil noodle in water .	4.0000
a group of people dance on a hill .	a group of people be dance .	3.2000
a man be dance outside .	a man be play flute .	1.0000
a woman be feed a man .	a woman be mix meat .	1.0000
a man be put a pan into a oven .	a woman be cut a onion .	0.6000
a woman be sit at a desk .	a woman be ride a donkey .	0.4000
