"It would be a mistake to underestimate her.	"It would be a mistake to the underestimate.	3
The choice of operators is unfortunately miserable and is limited, in most cases, to radio tubes.	The answer is simple, there is a lack of competition.	0
The fact that Google is a base for genetic data can give a good raw material for the next generation of science-fiction. The famous novel by Cory Doctorow, writes with half orwellien tones , describing the future in which a man could be approached only through data from Google.	The fact that Google is a genetic data can give a good raw material for the next generation of science-fiction. The novel Cory Doctorow of the famous, writing with half-tone orwelliens, described the future in which a man could be approached so outrageous only through data from Google.	5
And perhaps we will cease to call ourselves more expensive than the rest of Europe.	And perhaps we continue to call more expensive than in the rest of Europe.	2
For nearly 18 years, the space borehole "Ulysses" steals in the area.	For nearly 18 years, the space shuttle "Ulysses" has been flying in space.	3
The foundation Esely Budapestert Alapitvany, at the request of the grouping of Fiatal Baloldal - Ifju Szocialistak, has established a bill on the order of the Foundation has Harmadik Egyutt Evezredert, for a total of four million HUF.	The foundation Esely Budapestert Alapitvany, at the request of the grouping of Fiatal Baloldal - Ifju Szocialistak, made a bill on the order of the foundation Egyutt a Harmadik Evezredert, for a total of four million HUF.	5
With the collapse of the investment bank Lehman Brothers two weeks ago, the allocation of appropriations between banks has again expressed constant significantly, the banks that have accumulated their liquidity.	With the collapse of the investment bank Lehman Brothers two weeks ago, the allocation of appropriations between banks has again been delayed significantly, the banks having accumulated their liquidity.	4
It is true, I look forward to leave.	It is true, I look forward to their release.	2
Renierent legislators and supports the call to the project of President George Bush.	The US President George Bush himself is glad of progress in the negotiations.	2
Moreover, if right side of Naomi fascinates me.	"Because it fascinates me,"	1
The interview - blood become sure again	The interview, Du blood become course	2
We must be constantly vigilant ", continued Dre Decary before stressing that on top of security of supply, Hema-Quebec must also provide an adequate supply.	We must be constantly vigilant ", continuing the Dre Decary before stress that security of supply, Hema-Quebec must also provide an adequate supply.	5
This isn't necessarily bad, but if they do move you it would be better if they gave you everything (including the electronic chips for the race)	This is not wrong but if they do you move that would be better if they give you any (including the electronic chip shop).	3
